Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Source,EID
"Zongo B., Barbier B., Diarra A., Zorom M., Atewamba C., Combary O.S., Ouédraogo S., Toé P., Hamma Y., Dogot T.","Economic analysis and food security contribution of supplemental irrigation and farm ponds: evidence from northern Burkina Faso",2022,"Agriculture and Food Security","11","1","4","","",,"10.1186/s40066-021-00347-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123101625&doi=10.1186%2fs40066-021-00347-0&partnerID=40&md5=7761101e04dffdd28c72ce2582ea6bd3","Background: Dry spells are serious obstacles to rainfed agriculture in Sahelian countries. Various water harvesting techniques are used by farmers to reduce the impact of climate variability, but are not sufficient in the case of a prolonged drought lasting 2–3 weeks. The farmers believe supplemental irrigation is a good way to adapt rainfed agriculture to dry spells. In this study, we evaluated the food contribution and profitability of supplemental irrigation of rainfed crops comparing various farm ponds that collect runoff water from the surrounding landscape. Methods: We analyzed the contribution of supplemental irrigation to food security and compared the profitability of different types of ponds constructed by farmers in northern Burkina Faso. Human cereal requirement was used as indicators to analyze the contribution of supplemental irrigation to food security. The criteria for analyzing the profitability of the selected ponds were gross margin (GM), net present value (NPV), internal rate of return (IRR) and payback period (PBP). Results: Our results show that the additional yield of corn obtained with supplemental irrigation makes it possible to meet the monthly cereal needs of at least 17 people and generates an additional GM of FCFA 178,483 (US$ 309.26) compared to no irrigation. The estimate of the NPV, from IRR and PBP showed that the profitability of supplemental irrigation in 15 agricultural seasons varies between the type of ponds constructed. Conclusions: Given the up-front cost and the farmers’ lack of resources, the ponds require a subsidy or a credit policy to facilitate the adoption of supplemental irrigation in Sahelian countries. However, the irrigation strategies to optimize agricultural income remain a field of research to be explored. © 2022, The Author(s).","Cereal need; Dry spells; Profitability; Rainfed agriculture; Runoff water",,Article,"Final",Scopus,2-s2.0-85123101625
"Pereira P., Bašić F., Bogunovic I., Barcelo D.","Russian-Ukrainian war impacts the total environment",2022,"Science of the Total Environment","837",,"155865","","",,"10.1016/j.scitotenv.2022.155865","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130577677&doi=10.1016%2fj.scitotenv.2022.155865&partnerID=40&md5=7591d688c3ac34f583cf6683f1f91d58","The Russian-Ukrainian war triggered a tsunami that dramatically impacted the world economy, geopolitics, and food security. Due to the extreme humanitarian situation, the effects on the environment have been overlooked. However, due to the intense fighting, the impacts will be dramatic and produce an environmental disaster. The war is already affecting areas beyond Ukraine (explosions in Russia and Moldova territory). This discussion paper aims to shed light on the potential effect of this vast conflict on the ecosystems and their services. Although the war is still ongoing, there is evidence of severe air pollution and greenhouse gas emissions resulting from the intense fights. Also, warfare activities were conducted in the vicinity of the Zaporizhzhia nuclear power plant (the biggest in Europe) and Chernobyl, increasing the fear of radiation leaks. The biodiversity is being drastically affected due to intense deforestation and habitat destruction with potential implications for wildlife. Bombing, trench and tunnel excavations will likely negatively impact soil degradation and landscape morphology. This assumes particular importance since Ukraine has some of the most fertile soils globally (Chernozem), affecting food production. Water availability and quality are likely to be affected due to infrastructure destruction and the transport of pollutants to water reserves. The ecosystem services supplied will likely be strongly damaged since deforestation will decrease the capacity of the ecosystems to regulate air pollution or climate. Soil degradation will hamper food production, and landscape aesthetics, cultural heritage and social cohesion destruction drastically affects cultural services. Finally, the impacts on human health are already tremendous. However, it can be even higher due to exposure to high levels of contamination and sanitary conditions degradation. The war is still ongoing, and there is considerable uncertainty regarding the impacts. However, we may expect a dramatic effect on the total environment. © 2022 Elsevier B.V.","Biodiversity; Ecosystem services; Environment; Russian Ukrainian war; Soil; Water",,Note,"Final",Scopus,2-s2.0-85130577677
"Liu Y., Song W.","Mapping human appropriation of net primary production in agroecosystems in the Heihe River Basin, China",2022,"Agriculture, Ecosystems and Environment","335",,"107996","","",,"10.1016/j.agee.2022.107996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129738199&doi=10.1016%2fj.agee.2022.107996&partnerID=40&md5=22a9633ddc6f72fd493fe944af7fcab8","The Human Appropriation of Net Primary Production (HANPP) of agroecosystems is critical to food security, sustainable cropland use, and key biogeochemical processes such as carbon cycling and energy flow. However, current agroecosystem management lacks the support of high-resolution crop-type-specific HANPP information. To this end, this study integrated multi-source data of crop type, Normalized Difference Vegetation Index (NDVI) time-series, irrigation and climate, and multiple methods of the Miami model, the Carnegie-Ames-Stanford Approach (CASA) model, and process parameters to map the 30-m resolution spatial distribution of agroecosystem HANPP in the Heihe River Basin (HRB) in 2007 and 2012. We then analyzed the influences of climate condition, irrigation, and crop type on the HANPP. The average HANPP in the HRB decreased from 762.4 to 712.1 g C/m2 from 2007 to 2012, with a decrease by 6.6%. The HANPP values of wheat, barley, and oilseed rape decreased by more than 10.0%, whereas that of corn only decreased by 3.1%. The ratio of HANPP to potential NPP (NPPpot) dropped from 82.7% to 81.4% and that of land-use-induced HANPP (HANPPLUC) to HANPP from 61.9% to 58.5%, whereas that of crop-harvest-induced HANPP (HANPPharv) to HANPP increased from 38.1% to 41.5%. These changes indicated that crop productivity increased whereas NPP loss decreased. Crop type conversion accounted for 84.7% of the HANPP changes in HRB, with a value of −93.6 × 109 g C. Due to irrigation supplementation, the HANPP in high-temperature areas was higher than that in low-temperature areas with high precipitation. However, irrigation above 1000 mm no longer promoted HANPP, indicating that the irrigation efficiency in the HRB is low. Reducing HANPPLUC and carbon-water inputs while increasing HANPPharv is the key approach to obtain food security and sustainable agroecosystem development. Effective irrigation strategies and scientific crop planting adjustment should take into account their spatially heterogeneous and crop-specific impacts on the HANPP to help achieve these goals. © 2022 Elsevier B.V.","Crop-type-specific HANPP; Food-ecological security; Human appropriation of net primary production; Remote sensing; Spatially heterogeneous impacts; Sustainable agroecosystem development","agricultural ecosystem; food security; mapping method; NDVI; net primary production; remote sensing; spatial distribution; sustainable development; China; Gansu; Hei River",Article,"Final",Scopus,2-s2.0-85129738199
"Aadhar S., Mishra V.","Challenges in drought monitoring and assessment in India",2022,"Water Security","16",,"100120","","",,"10.1016/j.wasec.2022.100120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130750835&doi=10.1016%2fj.wasec.2022.100120&partnerID=40&md5=28f53abbcbf517273367cd2a35186f9f","Drought is one of the complex and deleterious natural hazards that poses severe challenges to water security, food production, ecosystem, and socio-economic condition in India. Using efficient drought monitoring and assessment, the severe impacts of drought can be reduced. However, drought monitoring and assessment are associated with large uncertainty due to different datasets, methods, drought indices, and modeling approaches. Here, we examine the sources of uncertainty in drought assessment using multiple observational and future projections datasets, methods, and hydrological models. Moreover, we discuss potential ways to overcome the challenges associated with drought assessment in India. The drought assessment without considering uncertainty may cause overestimation or underestimation of risk in the observed and projected future climate, which further affects the planning and management of water resources. Therefore, a thorough understanding of these challenges is essential to improve the existing drought monitoring and assessment approaches. © 2022 Elsevier B.V.","CMIP6; Drought Challenges; Human Influence; Hydrological Model; Uncertainty",,Article,"Final",Scopus,2-s2.0-85130750835
"Hanson M.C., Petch G.M., Ottosen T.-B., Skjøth C.A.","Climate change impact on fungi in the atmospheric microbiome",2022,"Science of the Total Environment","830",,"154491","","",,"10.1016/j.scitotenv.2022.154491","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127217631&doi=10.1016%2fj.scitotenv.2022.154491&partnerID=40&md5=fded91821fdf387d1fee4f1bc8a11b7d","The atmospheric microbiome is one of the least studied microbiomes of our planet. One of the most abundant, diverse and impactful parts of this microbiome is arguably fungal spores. They can be very potent outdoor aeroallergens and pathogens, causing an enormous socio-economic burden on health services and annual damages to crops costing billions of Euros. We find through hypothesis testing that an expected warmer and drier climate has a dramatic impact on the atmospheric microbiome, conceivably through alteration of the hydrological cycle impacting agricultural systems, with significant differences in leaf wetness between years (p-value <0.05). The data were measured via high-throughput sequencing analysis using the DNA barcode marker, ITS2. This was complemented by remote sensing analysis of land cover and dry matter productivity based on the Sentinel satellites, on-site detection of atmospheric and vegetation variables, GIS analysis, harvesting analysis and footprint modelling on trajectory clusters using the atmospheric transport model HYSPLIT. We find the seasonal spore composition varies between rural and urban zones reflecting both human activities (e.g. harvest), type and status of the vegetation and the prevailing climate rather than mesoscale atmospheric transport. We find that crop harvesting governs the composition of the atmospheric microbiome through a clear distinction between harvest and post-harvest beta-diversity by PERMANOVA on Bray-Curtis dissimilarity (p-value <0.05). Land cover impacted significantly by two-way ANOVA (p-value <0.05), while there was minimal impact from air mass transport over the 3 years. The hypothesis suggests that the fungal spore composition will change dramatically due to climate change, an until now unforeseen effect affecting both food security, human health and the atmospheric hydrological cycle. Consequently the management of crop diseases and impact on human health through aeroallergen exposure need to consider the timing of crop treatments and land management, including post harvest, to minimize exposure of aeroallergens and pathogens. © 2022","eDNA; GIS; HYSPLIT; Metabarcoding; Remote sensing; Spores","Climate change; Crops; DNA sequences; Food supply; Fungi; Gene encoding; Geographic information systems; Harvesting; Health; Urban transportation; Vegetation; Aeroallergens; EDNA; Fungal spores; HYSPLIT; Land cover; Metabarcoding; Microbiome; P-values; Remote-sensing; Spore; Remote sensing; internal transcribed spacer 2; aerosol; climate change; climate effect; DNA; fungus; GIS; remote sensing; Sentinel; spore; air mass transport; airborne fungus; Article; atmospheric microbiome; atmospheric transport; biomass production; climate change; climate warming; DNA barcoding; environmental parameters; food security; fungal plant disease; fungus spore; geographic information system; harvest; health status; high throughput sequencing; human; human activities; land use; leaf wetness; microbial diversity; microbiome; nonhuman; pathogen load; plant damage; plant parameters; postharvest period; remote sensing; seasonal variation; socioeconomics; telecommunication; urban rural difference; vegetation; water cycle",Article,"Final",Scopus,2-s2.0-85127217631
"Peluso L.M., Mateus L., Penha J., Bailly D., Cassemiro F., Suárez Y., Fantin-Cruz I., Kashiwaqui E., Lemes P.","Climate change negative effects on the Neotropical fishery resources may be exacerbated by hydroelectric dams",2022,"Science of the Total Environment","828",,"154485","","",,"10.1016/j.scitotenv.2022.154485","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126312586&doi=10.1016%2fj.scitotenv.2022.154485&partnerID=40&md5=6d2d557e117377d4b3ac9e68160c4cdb","Climate change is now recognized as a reality and along with human pressures such as river fragmentation by dams, amplifies the threats to freshwater ecosystems and their biodiversity. In the Brazilian portion of the Upper Paraguay River Basin (UPRB) that encompasses the Pantanal, one of the largest tropical wetlands in the world, in addition to the high biodiversity found there, fisheries are an important ecosystem service mostly supported by migratory fishes. We estimated the current range of migratory fish of commercial interest, also assessing the climate change effects predicted on the distribution patterns. Then, we assessed the effects of future climate on fish richness, and combining species ranges with routes blocked by artificial dams investigated possible impacts on fishery and food security in the UPRB. Climate change will induce range contraction between 47% and 100% for the species analyzed, and only four migratory fish may have suitable habitat until the end-of-century. The local richness will reduce about 85% in the basin. River fragmentation by dams acting together with climate change will prevent upstream shifts for most fish species. About 4% of present range and up to 45% of future range of migratory fish should be blocked by dams in UPRB. Consequently, this will also negatively affect fishery yield and food security in the future. © 2022","Artificial dam; Brazilian Pantanal; Ecological niche model; Freshwater ecosystem; Species richness; Upper Paraguay River Basin","Biodiversity; Climate models; Dams; Ecosystems; Fish; Fisheries; Food supply; Hydroelectric power; Rivers; Water; Watersheds; Artificial dam; Brazilian pantanal; Ecological niche modeling; Food security; Freshwater ecosystem; Migratory fishes; Pantanal; River fragmentations; Species richness; Upper paraguay river basins; Climate change; climate change; climate effect; dam; fishery; freshwater ecosystem; hydroelectric power plant; niche; species richness; article; climate change; ecological niche; fishery; food security; freshwater environment; habitat; human; migratory fish; Neotropics; nonhuman; Paraguay; river; river basin; species richness; animal; biodiversity; climate change; ecosystem; environmental protection; fish; Brazil; Pantanal; Paraguay Basin; Animals; Biodiversity; Climate Change; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes; Rivers",Article,"Final",Scopus,2-s2.0-85126312586
"Lyashchevskaya M.S., Bazarova V.B., Dorofeeva N.A., Leipe C.","Late Pleistocene–Holocene environmental and cultural changes in Primorye, southern Russian Far East: A review",2022,"Quaternary International","623",,,"68","82",,"10.1016/j.quaint.2022.02.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125451735&doi=10.1016%2fj.quaint.2022.02.010&partnerID=40&md5=87de6c0f0aa4a94a93d833cb3bbcc955","This article presents an analytical review of the available palaeoenvironmental and archaeological records from the southern part (ca. 42°18′–45°30′N) of Primorye spanning the last ca. 21,000 years. The outlined climate and environmental history of the coastal and continental zones of southern Primorye, based mainly on vegetation reconstructions derived from the study of fossil pollen from sedimentary deposits from various archives, is compared with the archaeological cultural sequence of the region. This shows synchronicity between several phases of climate change and cultural transition, migration and changes in population numbers and/or subsistence strategies. The pronounced warming trend during the Early Holocene (Preboreal and Boreal stages) is associated with increasing numbers of long-term camp sites of the Late Palaeolithic hunter-gatherers and a growing importance of aquatic food resources. The Holocene maximum temperature and moisture conditions during the Atlantic stage were paralleled by the emergence and flourishing of the Neolithic Rudnaya, Vetka and Boisman cultures (ca. 7.7–5.5 14C ka BP/8.5–6.2 cal ka BP). The latter was a specialised maritime forager culture distributed along the Sea of Japan coast, which likely reflects climate conditions and sea water temperatures that promoted a broad spectrum of marine food resources. Towards the end of the Atlantic stage, sea levels decreased and transformed the coastal landscape of southern Primorye, which probably contributed to the decline of the Boisman culture. At the same time, the climate started to become cooler, which is likely related to the eastward migration of Zaisanovskaya culture groups from more continental (cooler) regions to milder southern Primorye. Continuous cooling during the Subboreal was accompanied by further immigrations of Zaisanovskaya people and an increase in millet cultivation, which probably occurred in the region between ca. 4.6–4.1 14C ka BP/5.3–4.6 cal ka BP. With the emergence of the Palaeometal Epoch cultures (ca. 3.6 14C ka BP/4.0 cal ka BP), food production diversified (growing number of cultivated crops, animal husbandry) and intensified, which probably decreased the people's dependence on climatic conditions unfavourable for food procurement. However, the maximum flourishing (ca. 2.8–2.6 14C ka BP/2.9–2.6 cal ka BP) of the Palaeometal Epoch Yankovskaya culture, represented by a maximum number of documented settlement sites in Primorye's prehistoric sequence, was likely related to a coeval short phase of climate amelioration with higher air and sea water temperatures and an increased sea level, which promoted agriculture and a higher productivity of coastal waters. © 2022 The Authors","Archaeological sites; Cultural shifts; Human population dynamics; Palaeoclimate; Sea of Japan level; Vegetation change",,Article,"Final",Scopus,2-s2.0-85125451735
"Vanino S., Farina R., Pirelli T., Di Bene C., Calzolari C., Napoli R., Piccini C., Fantappiè M.","Soil priorities for Italy. A multi-stakeholder consultation, barriers and opportunities for research system",2022,"Geoderma Regional","29",,"e00528","","",,"10.1016/j.geodrs.2022.e00528","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130400151&doi=10.1016%2fj.geodrs.2022.e00528&partnerID=40&md5=f2d73ae84245d245365dd0449275b9f0","Soil can play a primary role to address key global challenges, such as climate change mitigation and adaptation; ensuring food security and human livelihood; preserving ecosystem services, biodiversity and water quality. Nevertheless, identifying and addressing key soil challenges requires a cross cutting and tailored approach that considers local context and needs. On the other hand, advancing soil science research is essential for bridging the gap between societal needs and state-of-the-art on soil knowledge. This study summarizes the outcomes of multi-stakeholder consultations carried out in Italy with the aim to identify and prioritize the key soil challenges and the main knowledge barriers/gaps that prevent to address and the main opportunities to overcome them. Soil sealing, soil erosion and the losses of soil organic matter were identified as the most relevant soil challenges in the Italian context, as their incidence is already alarming in the country. The study showed that there are many areas of soil research improvement to respond adequately to the existing soil challenges in Italy. © 2022 Elsevier B.V.","Knowledge barriers; Knowledge opportunities; Knowledge segments; Multi-stakeholders consultation; Soil challenges; Soil erosion; Soil organic matter; Soil sealing",,Article,"Final",Scopus,2-s2.0-85130400151
"Hossain M.S., Islam M.N., Rahman M.M., Mostofa M.G., Khan M.A.R.","Sorghum: A prospective crop for climatic vulnerability, food and nutritional security",2022,"Journal of Agriculture and Food Research","8",,"100300","","",,"10.1016/j.jafr.2022.100300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127797993&doi=10.1016%2fj.jafr.2022.100300&partnerID=40&md5=d264fbecdc1d14ee08fa935da8380447","Climatic oscillation is mediated by altered temperature and precipitation patterns projected to impact food production stability and lead to food and nutritional security threats. This review discusses the potential of sorghum as a promising crop for food security in the context of climatic variation. Increasing temperatures and altering precipitation patterns change crop water requirements, lowering crop potential and production while raising the cost of water availability throughout the agricultural landscape. Under these conditions, shifting to substitute crops with minor water necessities, abiotic stress tolerance, greater yield, or biological substance per unit of water is critical for long-lasting farming. With its dual purposes implications like a staple food for humans and a major feed crop for animal feeding, sorghum can adjust to a diversity of agronomic and environmental circumstances, principally little precipitation, inadequate irrigation water availability, and salinity. Sorghum has been found to be less vulnerable to climatic variables, allowing it to maintain high productivity while also serving as a source of diet for human beings, animals, and fresh substance for industrial manufacture, as well as ensuring food security in the tropics. In-depth research is imperative for precise conclusions of the prospects of sorghum in sustainable crop modeling for food security. © 2022","climate change; drought tolerance; food security; salinity; sorghum",,Review,"Final",Scopus,2-s2.0-85127797993
"Abbass K., Qasim M.Z., Song H., Murshed M., Mahmood H., Younis I.","A review of the global climate change impacts, adaptation, and sustainable mitigation measures",2022,"Environmental Science and Pollution Research","29","28",,"42539","42559",,"10.1007/s11356-022-19718-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127593357&doi=10.1007%2fs11356-022-19718-6&partnerID=40&md5=41da67ed36adc74a8842e834ccffa2f6","Climate change is a long-lasting change in the weather arrays across tropics to polls. It is a global threat that has embarked on to put stress on various sectors. This study is aimed to conceptually engineer how climate variability is deteriorating the sustainability of diverse sectors worldwide. Specifically, the agricultural sector’s vulnerability is a globally concerning scenario, as sufficient production and food supplies are threatened due to irreversible weather fluctuations. In turn, it is challenging the global feeding patterns, particularly in countries with agriculture as an integral part of their economy and total productivity. Climate change has also put the integrity and survival of many species at stake due to shifts in optimum temperature ranges, thereby accelerating biodiversity loss by progressively changing the ecosystem structures. Climate variations increase the likelihood of particular food and waterborne and vector-borne diseases, and a recent example is a coronavirus pandemic. Climate change also accelerates the enigma of antimicrobial resistance, another threat to human health due to the increasing incidence of resistant pathogenic infections. Besides, the global tourism industry is devastated as climate change impacts unfavorable tourism spots. The methodology investigates hypothetical scenarios of climate variability and attempts to describe the quality of evidence to facilitate readers’ careful, critical engagement. Secondary data is used to identify sustainability issues such as environmental, social, and economic viability. To better understand the problem, gathered the information in this report from various media outlets, research agencies, policy papers, newspapers, and other sources. This review is a sectorial assessment of climate change mitigation and adaptation approaches worldwide in the aforementioned sectors and the associated economic costs. According to the findings, government involvement is necessary for the country’s long-term development through strict accountability of resources and regulations implemented in the past to generate cutting-edge climate policy. Therefore, mitigating the impacts of climate change must be of the utmost importance, and hence, this global threat requires global commitment to address its dreadful implications to ensure global sustenance. © 2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Antimicrobial resistance; Biodiversity; Climate change; COVID-19; Mitigation measures",,Review,"Final",Scopus,2-s2.0-85127593357
